Severity,Start_Lat,Start_Lng,Distance(mi),City,State,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Civil_Twilight,Year,Month,Date,Hour,Day,Duration
2,40.731228,-74.051277,0,Jersey City,NJ,42,65,30.02,10,CALM,0,Clear,Night,2019,Dec,25,18,Wed,47
2,41.117409,-73.419807,0,Norwalk,CT,33,85,29.66,10,CALM,0,Clear,Night,2019,Dec,25,18,Wed,29
3,40.667072,-73.995743,0,Brooklyn,NY,42,65,30.02,10,CALM,0,Clear,Night,2019,Dec,25,18,Wed,29
2,40.886761,-73.815079,0,Bronx,NY,39,76,30.15,10,E,6,Cloudy,Night,2019,Dec,25,19,Wed,74
3,40.608208,-74.131935,0,Staten Island,NY,36,84,30.15,10,CALM,0,Clear,Night,2019,Dec,25,19,Wed,53
3,40.731777,-73.872086,0,Elmhurst,NY,39,79,30.15,10,NE,6,Cloudy,Night,2019,Dec,25,19,Wed,70
2,40.537899,-74.295517,0,Woodbridge,NJ,36,84,30.15,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,30
2,40.744755,-73.97094,0,New York,NY,41,70,30.02,10,N,5,Clear,Night,2019,Dec,25,20,Wed,30
2,40.170513,-74.092598,0,Wall Township,NJ,30,100,30,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,30
2,39.76347,-75.534889,0,Wilmington,DE,33,85,30.08,6,CALM,0,Clear,Night,2019,Dec,25,20,Wed,50
3,40.609512,-74.149948,0,Staten Island,NY,34,90,30.15,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,30
3,40.857105,-73.968361,0,Fort Lee,NJ,34,89,30.14,10,CALM,0,Clear,Night,2019,Dec,25,21,Wed,50
2,40.684414,-73.643402,0,West Hempstead,NY,35,100,30.16,10,CALM,0,Cloudy,Night,2019,Dec,25,21,Wed,47
3,40.064896,-75.32122,0,Conshohocken,PA,28,94,29.83,10,CALM,0,Clear,Night,2019,Dec,25,21,Wed,68
2,40.423569,-74.525833,0,Monmouth Junction,NJ,33,72,29.93,10,CALM,0,Clear,Night,2019,Dec,25,21,Wed,29
2,40.682384,-73.66362,0,Malverne,NY,38,97,30.17,10,CALM,0,Cloudy,Night,2019,Dec,25,22,Wed,122
2,40.684414,-73.643402,0,West Hempstead,NY,35,100,30.17,10,CALM,0,Cloudy,Night,2019,Dec,25,23,Wed,46
3,40.60347,-74.067299,0,Staten Island,NY,37,89,30.15,9,CALM,0,Cloudy,Night,2019,Dec,25,23,Wed,27
3,41.744164,-72.662338,0,Hartford,CT,35,57,30.21,10,CALM,0,Clear,Day,2019,Dec,25,10,Wed,32
3,41.717091,-71.473335,0,Warwick,RI,36,82,30.12,10,S,6,Cloudy,Night,2019,Dec,25,17,Wed,29
4,41.724567,-71.480438,3.789999962,Warwick,RI,35,85,30.12,10,W,3,Cloudy,Night,2019,Dec,25,18,Wed,148
3,40.436352,-79.97168,1.350000024,Pittsburgh,PA,31,89,28.73,0,CALM,0,Fog,Night,2019,Dec,25,5,Wed,45
3,40.430653,-79.957886,0,Pittsburgh,PA,32,85,28.75,0.12,CALM,0,Fog,Day,2019,Dec,25,8,Wed,45
3,40.443096,-80.008835,0,Pittsburgh,PA,35,100,28.75,1,S,5,Fog,Day,2019,Dec,25,11,Wed,44
2,40.619801,-79.635422,0,Leechburg,PA,45,74,28.68,10,S,3,Clear,Day,2019,Dec,25,14,Wed,45
2,41.082981,-78.784325,0,Du Bois,PA,46,51,28.12,10,CALM,0,Clear,Day,2019,Dec,25,16,Wed,70
2,40.30254,-78.911003,0,Johnstown,PA,48,46,27.65,10,S,6,Clear,Night,2019,Dec,25,17,Wed,30
2,41.105469,-78.771187,0,Du Bois,PA,38,65,28.12,10,E,3,Clear,Night,2019,Dec,25,20,Wed,30
3,38.04517,-78.762108,0,Greenwood,VA,29,93,28.86,10,CALM,0,Clear,Night,2019,Dec,25,22,Wed,29
3,38.340263,-77.492622,0,Fredericksburg,VA,28,100,29.99,5,CALM,0,Clear,Night,2019,Dec,25,1,Wed,45
3,39.77108,-76.667564,0,Shrewsbury,PA,19,85,29.65,7,CALM,0,Clear,Night,2019,Dec,25,1,Wed,61
3,39.407589,-76.58033,0.409999996,Towson,MD,38,65,30.17,8.074134635,E,6.708214721,Cloudy,Night,2019,Dec,25,1,Wed,45
3,40.216244,-76.074089,0,Denver,PA,26,81,29.74,7,CALM,0,Clear,Night,2019,Dec,25,1,Wed,135
3,38.801434,-77.518654,0,Manassas,VA,22,89,29.98,9,CALM,0,Clear,Night,2019,Dec,25,1,Wed,45
3,38.80283,-77.162758,0,Alexandria,VA,32,92,30.2,4,CALM,0,Clear,Night,2019,Dec,25,2,Wed,104
3,38.8237,-77.016159,0,Washington,DC,32,92,30.19,4,CALM,0,Clear,Night,2019,Dec,25,3,Wed,137
3,38.909611,-77.217911,1.129999995,Falls Church,VA,30,96,30.2,6,NE,3,Clear,Night,2019,Dec,25,6,Wed,150
3,39.012531,-78.363029,8.399999619,Strasburg,VA,23,93,29.37,4,CALM,0,Clear,Day,2019,Dec,25,7,Wed,44
3,39.070629,-76.635986,0,Millersville,MD,23,100,30.08,5,CALM,0,Clear,Day,2019,Dec,25,7,Wed,59
3,38.844872,-77.430412,2.430000067,Centreville,VA,24,88,29.85,4,CALM,0,Cloudy,Day,2019,Dec,25,8,Wed,77
2,41.23019,-76.992493,0.670000017,Williamsport,PA,25,88,29.62,10,CALM,0,Clear,Day,2019,Dec,25,8,Wed,45
3,38.796402,-77.135902,0,Alexandria,VA,50.83377255,79.17379788,29.29584917,8.074134635,E,6.708214721,Cloudy,Day,2019,Dec,25,10,Wed,79
2,39.09948,-76.903557,0,Laurel,MD,46,57,30.02,10,CALM,0,Clear,Day,2019,Dec,25,13,Wed,44
3,39.323441,-77.35688,0,Frederick,MD,48,54,29.81,10,SW,3,Cloudy,Day,2019,Dec,25,13,Wed,60
3,40.491264,-76.223183,6.309999943,Bethel,PA,43,51,29.58,10,CALM,0,Clear,Day,2019,Dec,25,15,Wed,44
2,38.372501,-76.78743,0,Mechanicsville,MD,34,93,30.02,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,60
3,38.778599,-77.180199,0,Springfield,VA,50.83377255,79.17379788,29.29584917,8.074134635,E,6.708214721,Cloudy,Night,2019,Dec,25,20,Wed,51
2,39.23645,-76.710274,0,Halethorpe,MD,34,75,29.99,10,CALM,0,Cloudy,Night,2019,Dec,25,20,Wed,78
3,39.782879,-86.157448,0,Indianapolis,IN,40,89,29.15,8,SE,3,Cloudy,Night,2019,Dec,25,1,Wed,59
3,38.207157,-85.750145,0,Louisville,KY,36,86,29.5,9,CALM,0,Clear,Night,2019,Dec,25,5,Wed,59
3,38.254166,-85.80587,0,Louisville,KY,36,86,29.54,10,SE,6,Cloudy,Day,2019,Dec,25,8,Wed,159
3,38.254166,-85.80587,0,Louisville,KY,36,86,29.54,10,SE,6,Cloudy,Day,2019,Dec,25,8,Wed,96
2,38.195477,-85.707596,0,Louisville,KY,56,60,29.52,10,CALM,0,Cloudy,Day,2019,Dec,25,12,Wed,82
3,39.798779,-86.040817,0,Indianapolis,IN,50,94,29.08,10,S,5,Clear,Night,2019,Dec,25,19,Wed,50
3,38.333099,-85.63195,0,Prospect,KY,55,77,29.45,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,81
3,39.02319,-84.519188,1.570000052,Latonia,KY,47,74,29.54,10,CALM,0,Clear,Day,2019,Dec,25,11,Wed,45
3,41.638412,-83.69429,0,Toledo,OH,55,59,29.23,10,W,9,Clear,Day,2019,Dec,25,14,Wed,61
2,39.157139,-84.535049,0,Cincinnati,OH,64,48,29.49,10,S,8,Clear,Day,2019,Dec,25,15,Wed,45
3,35.599384,-80.531868,2.569999933,Salisbury,NC,36,93,29.31,10,CALM,0,Clear,Night,2019,Dec,25,4,Wed,89
2,35.771,-81.32991,0,Hickory,NC,38,83,28.88,10,NE,3,Clear,Night,2019,Dec,25,6,Wed,60
3,35.706032,-81.424911,0,Hildebran,NC,37,89,28.93,10,W,3,Clear,Day,2019,Dec,25,8,Wed,44
2,35.06514,-80.84581,0,Charlotte,NC,46,66,29.48,10,NE,12,Clear,Day,2019,Dec,25,9,Wed,30
2,35.22385,-80.745033,0,Charlotte,NC,52,54,29.47,10,CALM,0,Clear,Day,2019,Dec,25,12,Wed,60
2,35.344543,-80.967941,0,Charlotte,NC,57,45,29.37,10,N,6,Cloudy,Day,2019,Dec,25,12,Wed,128
2,35.278908,-80.793503,0,Charlotte,NC,57,45,29.37,10,N,6,Cloudy,Day,2019,Dec,25,13,Wed,94
2,35.266586,-80.881927,0,Charlotte,NC,60,41,29.34,10,CALM,0,Cloudy,Day,2019,Dec,25,13,Wed,63
2,35.209259,-80.800262,0,Charlotte,NC,60,41,29.34,10,CALM,0,Cloudy,Day,2019,Dec,25,14,Wed,92
2,35.33271,-80.799072,0,Charlotte,NC,57,44,29.4,10,CALM,0,Clear,Day,2019,Dec,25,14,Wed,123
2,35.264229,-80.854462,0,Charlotte,NC,60,39,29.33,10,CALM,0,Cloudy,Day,2019,Dec,25,15,Wed,76
3,37.293045,-80.100899,0,Salem,VA,56,47,28.86,10,SE,5,Clear,Day,2019,Dec,25,15,Wed,120
2,36.604488,-79.523109,0,Danville,VA,42,65,29.53,10,CALM,0,Clear,Night,2019,Dec,25,18,Wed,72
2,35.236759,-80.775627,0,Charlotte,NC,48,66,29.37,10,CALM,0,Cloudy,Night,2019,Dec,25,20,Wed,130
3,35.570835,-80.559273,0,China Grove,NC,38,93,29.33,10,S,3,Clear,Night,2019,Dec,25,21,Wed,115
2,35.062981,-81.880241,0,Chesnee,SC,41,93,29.27,10,CALM,0,Clear,Night,2019,Dec,25,22,Wed,75
2,37.38633,-77.44548,2,Richmond,VA,24,96,29.91,7,CALM,0,Clear,Night,2019,Dec,25,2,Wed,90
3,36.98542,-76.427979,0.469999999,Newport News,VA,39,99,30.15,10,N,5,Clear,Night,2019,Dec,25,5,Wed,181
3,37.01284,-76.323959,0,Hampton,VA,48,85,30.18,10,N,5,Clear,Day,2019,Dec,25,10,Wed,44
3,35.424549,-78.530006,0.959999979,Benson,NC,51,67,29.99,10,NE,6,Clear,Day,2019,Dec,25,10,Wed,30
3,37.11694,-76.503128,0,Newport News,VA,50.83377255,79.17379788,29.29584917,8.074134635,E,6.708214721,Cloudy,Day,2019,Dec,25,11,Wed,45
2,37.288963,-75.978653,0,Cape Charles,VA,51,78,30.17,10,N,6,Clear,Day,2019,Dec,25,11,Wed,74
2,35.799881,-78.727257,0,Raleigh,NC,55,59,29.7,10,W,5,Cloudy,Day,2019,Dec,25,12,Wed,107
3,36.842907,-76.041992,0,Virginia Beach,VA,54,69,30.11,10,N,10,Clear,Day,2019,Dec,25,13,Wed,45
2,35.753876,-78.635849,0,Raleigh,NC,57,53,29.69,10,CALM,0,Cloudy,Day,2019,Dec,25,13,Wed,141
2,35.800491,-78.666481,0,Raleigh,NC,57,53,29.69,10,CALM,0,Cloudy,Day,2019,Dec,25,14,Wed,155
2,35.838581,-78.324638,0,Zebulon,NC,55,54,29.76,10,CALM,0,Clear,Day,2019,Dec,25,15,Wed,110
3,36.890636,-76.427795,0,Suffolk,VA,48,83,30.11,10,N,6,Clear,Day,2019,Dec,25,15,Wed,45
2,35.756947,-78.700005,0,Raleigh,NC,57,53,29.66,10,CALM,0,Cloudy,Day,2019,Dec,25,16,Wed,125
2,35.750679,-78.611702,0,Raleigh,NC,48,77,29.65,10,CALM,0,Cloudy,Day,2019,Dec,25,17,Wed,82
3,36.363949,-77.672867,0,Roanoke Rapids,NC,37,100,30.04,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,80
3,25.96417,-80.165855,0,Miami,FL,65,90,29.92,8,NW,6,Cloudy,Day,2019,Dec,25,8,Wed,45
3,26.318445,-80.116196,0,Deerfield Beach,FL,78,68,29.89,5,N,14,Cloudy,Day,2019,Dec,25,12,Wed,44
3,26.191101,-80.151855,0,Fort Lauderdale,FL,79,62,29.87,10,NE,15,Cloudy,Day,2019,Dec,25,12,Wed,45
3,26.461075,-80.088432,0,Delray Beach,FL,80,62,29.85,5,NE,15,Cloudy,Day,2019,Dec,25,15,Wed,45
4,25.96417,-80.165855,3.299999952,Miami,FL,79,62,29.88,10,NE,21,Windy,Day,2019,Dec,25,15,Wed,29
3,26.169971,-80.158295,0,Fort Lauderdale,FL,76,76,29.87,10,NE,10,Rain,Day,2019,Dec,25,15,Wed,45
3,26.041931,-80.163078,0,Hollywood,FL,77,71,29.86,10,E,15,Cloudy,Day,2019,Dec,25,16,Wed,45
3,25.861881,-80.208626,0,Miami,FL,75,69,29.92,10,NE,9,Cloudy,Night,2019,Dec,25,18,Wed,88
2,28.568691,-81.266258,3.730000019,Orlando,FL,66,87,29.76,4,N,7,Cloudy,Night,2019,Dec,25,1,Wed,43
3,28.49229,-81.433685,0,Orlando,FL,65,87,29.78,10,N,10,Cloudy,Night,2019,Dec,25,5,Wed,30
2,28.547422,-81.223389,0,Orlando,FL,65,87,29.82,10,N,15,Cloudy,Night,2019,Dec,25,6,Wed,29
3,28.547178,-81.244682,2.410000086,Orlando,FL,76,58,29.83,10,E,16,Cloudy,Day,2019,Dec,25,16,Wed,45
3,28.558655,-81.380936,0,Orlando,FL,75,60,29.85,10,E,14,Cloudy,Day,2019,Dec,25,16,Wed,29
2,28.54208,-81.252899,0,Orlando,FL,75,60,29.85,10,E,14,Cloudy,Day,2019,Dec,25,16,Wed,173
2,28.479195,-81.449753,0,Orlando,FL,75,60,29.86,10,E,16,Cloudy,Day,2019,Dec,25,16,Wed,80
2,25.777796,-80.321945,0,Miami,FL,63,81,29.83,10,NW,5,Clear,Night,2019,Dec,25,1,Wed,29
2,25.623528,-80.379021,0,Miami,FL,73,79,29.92,10,VAR,6,Cloudy,Day,2019,Dec,25,10,Wed,30
2,25.739935,-80.237846,0,Miami,FL,77,64,29.88,10,NE,13,Cloudy,Day,2019,Dec,25,16,Wed,74
3,25.812889,-80.206703,0.610000014,Miami,FL,76,67,29.93,10,E,7,Cloudy,Night,2019,Dec,25,20,Wed,59
3,25.814951,-80.206207,1.679999948,Miami,FL,76,67,29.93,10,E,7,Cloudy,Night,2019,Dec,25,20,Wed,44
2,27.961121,-82.698158,12.82999992,Clearwater,FL,65,84,29.9,10,N,7,Cloudy,Night,2019,Dec,25,4,Wed,54
2,27.694525,-80.894943,0,Okeechobee,FL,77,74,29.91,8.074134635,NE,10,Cloudy,Day,2019,Dec,25,11,Wed,75
2,27.828369,-82.676018,0,Saint Petersburg,FL,71,81,29.93,10,E,5,Clear,Day,2019,Dec,25,12,Wed,44
2,27.476379,-82.299057,0,Myakka City,FL,77,66,29.89,10,E,10,Cloudy,Day,2019,Dec,25,12,Wed,44
2,27.923035,-82.401894,0,Tampa,FL,79,65,29.94,10,E,16,Cloudy,Day,2019,Dec,25,12,Wed,44
3,34.665375,-82.176796,0,Fountain Inn,SC,46,71,29.08,10,N,7,Clear,Night,2019,Dec,25,3,Wed,265
3,34.07373,-80.947723,2.109999895,Columbia,SC,43,86,29.87,10,CALM,0,Clear,Night,2019,Dec,25,3,Wed,29
3,34.668941,-82.183586,0,Fountain Inn,SC,41,87,29.14,10,NE,6,Clear,Day,2019,Dec,25,7,Wed,30
2,33.757339,-78.966812,0,Myrtle Beach,SC,45,82,30.13,10,N,8,Clear,Day,2019,Dec,25,9,Wed,30
2,33.950829,-80.982559,0,Columbia,SC,49,66,29.99,10,E,6,Clear,Day,2019,Dec,25,10,Wed,30
2,33.974819,-80.955208,0,Columbia,SC,54,62,29.96,10,N,6,Clear,Day,2019,Dec,25,10,Wed,30
2,34.934078,-82.353683,0,Taylors,SC,52,59,29.18,10,N,5,Clear,Day,2019,Dec,25,10,Wed,94
2,34.982128,-81.944794,0,Spartanburg,SC,50,58,29.36,10,NE,6,Clear,Day,2019,Dec,25,10,Wed,81
2,34.961571,-81.942711,0,Spartanburg,SC,50,58,29.36,10,N,7,Clear,Day,2019,Dec,25,11,Wed,30
3,33.912956,-84.391212,0,Atlanta,GA,58,46,29.09,10,VAR,6,Clear,Day,2019,Dec,25,11,Wed,44
2,34.073822,-80.999619,0,Columbia,SC,57,53,29.95,10,N,5,Clear,Day,2019,Dec,25,12,Wed,90
2,34.855751,-82.457191,0,Greenville,SC,57,49,29.07,10,E,6,Clear,Day,2019,Dec,25,12,Wed,139
2,33.97805,-81.194801,0,Lexington,SC,59,46,29.89,10,E,6,Clear,Day,2019,Dec,25,12,Wed,77
2,34.731079,-82.389687,0,Piedmont,SC,63,39,29.09,10,CALM,0,Clear,Day,2019,Dec,25,14,Wed,123
2,33.811211,-81.128464,0,Gaston,SC,62,38,29.86,10,NE,6,Clear,Day,2019,Dec,25,14,Wed,108
2,34.921745,-81.988892,0,Spartanburg,SC,59,42,29.27,10,CALM,0,Clear,Day,2019,Dec,25,14,Wed,76
